[PC Hunter Standard][DNF.exe-->Ring3 Hook]: 1051
挂钩对象		挂钩位置		钩子类型		挂钩处当前值		挂钩处原始值
[*]TerSafe.dll->KERNEL32.dll:GetUserDefaultLCID		0x000000007718F0E0->0x00000000099BF0E0		Iat		E0 F0 9B 09		E0 F0 18 77
TerSafe.dll->KERNEL32.dll:IsValidLocale		0x0000000077192540->0x00000000099C2540		Iat		40 25 9C 09		40 25 19 77
[*]TerSafe.dll->KERNEL32.dll:GetTimeFormatW		0x0000000077187990->0x00000000099B7990		Iat		90 79 9B 09		90 79 18 77
TerSafe.dll->KERNEL32.dll:GetDateFormatW		0x00000000771892F0->0x00000000099B92F0		Iat		F0 92 9B 09		F0 92 18 77
[*]TerSafe.dll->KERNEL32.dll:GetACP		0x0000000077190A80->0x00000000099C0A80		Iat		80 0A 9C 09		80 0A 19 77
TerSafe.dll->KERNEL32.dll:GetCurrentThread		0x000000007718FF50->0x00000000099BFF50		Iat		50 FF 9B 09		50 FF 18 77
[*]TerSafe.dll->KERNEL32.dll:GetTimeZoneInformation		0x00000000771928A0->0x00000000099C28A0		Iat		A0 28 9C 09		A0 28 19 77
TerSafe.dll->KERNEL32.dll:SetConsoleMode		0x00000000771943E0->0x00000000099C43E0		Iat		E0 43 9C 09		E0 43 19 77
[*]TerSafe.dll->KERNEL32.dll:ReadConsoleInputA		0x0000000077194390->0x00000000099C4390		Iat		90 43 9C 09		90 43 19 77
TerSafe.dll->KERNEL32.dll:PeekConsoleInputA		0x0000000077194360->0x00000000099C4360		Iat		60 43 9C 09		60 43 19 77
[*]TerSafe.dll->KERNEL32.dll:GetNumberOfConsoleInputEvents		0x0000000077194350->0x00000000099C4350		Iat		50 43 9C 09		50 43 19 77
TerSafe.dll->KERNEL32.dll:GetConsoleMode		0x0000000077194330->0x00000000099C4330		Iat		30 43 9C 09		30 43 19 77
[*]TerSafe.dll->KERNEL32.dll:SetConsoleCtrlHandler		0x00000000771943D0->0x00000000099C43D0		Iat		D0 43 9C 09		D0 43 19 77
TerSafe.dll->KERNEL32.dll:SetFilePointerEx		0x0000000077193FD0->0x00000000099C3FD0		Iat		D0 3F 9C 09		D0 3F 19 77
[*]TerSafe.dll->KERNEL32.dll:FreeLibraryAndExitThread		0x00000000771926B0->0x00000000099C26B0		Iat		B0 26 9C 09		B0 26 19 77
TerSafe.dll->KERNEL32.dll:FileTimeToSystemTime		0x0000000077194090->0x00000000099C4090		Iat		90 40 9C 09		90 40 19 77
[*]TerSafe.dll->KERNEL32.dll:SystemTimeToTzSpecificLocalTime		0x0000000077189720->0x00000000099B9720		Iat		20 97 9B 09		20 97 18 77
TerSafe.dll->KERNEL32.dll:WriteConsoleW		0x0000000077194400->0x00000000099C4400		Iat		00 44 9C 09		00 44 19 77
[*]TerSafe.dll->KERNEL32.dll:GetModuleHandleExW		0x00000000771922C0->0x00000000099C22C0		Iat		C0 22 9C 09		C0 22 19 77
TerSafe.dll->KERNEL32.dll:LoadLibraryExW		0x000000007718FEA0->0x00000000099BFEA0		Iat		A0 FE 9B 09		A0 FE 18 77
[*]TerSafe.dll->KERNEL32.dll:RtlUnwind		0x0000000077190C40->0x00000000099C0C40		Iat		40 0C 9C 09		40 0C 19 77
TerSafe.dll->KERNEL32.dll:GlobalMemoryStatus		0x0000000077186000->0x00000000099B6000		Iat		00 60 9B 09		00 60 18 77
[*]TerSafe.dll->KERNEL32.dll:GetVersion		0x0000000077192610->0x00000000099C2610		Iat		10 26 9C 09		10 26 19 77
TerSafe.dll->KERNEL32.dll:FormatMessageW		0x0000000077192640->0x00000000099C2640		Iat		40 26 9C 09		40 26 19 77
TerSafe.dll->KERNEL32.dll:SetLastError		0x000000007718EFD0->0x00000000099BEFD0		Iat		D0 EF 9B 09		D0 EF 18 77
[*]TerSafe.dll->KERNEL32.dll:CreateEventW		0x00000000771939D0->0x00000000099C39D0		Iat		D0 39 9C 09		D0 39 19 77
TerSafe.dll->KERNEL32.dll:TlsAlloc		0x0000000077191DC0->0x00000000099C1DC0		Iat		C0 1D 9C 09		C0 1D 19 77
[*]TerSafe.dll->KERNEL32.dll:TlsGetValue		0x000000007718EF40->0x00000000099BEF40		Iat		40 EF 9B 09		40 EF 18 77
TerSafe.dll->KERNEL32.dll:TlsSetValue		0x000000007718EF90->0x00000000099BEF90		Iat		90 EF 9B 09		90 EF 18 77
[*]TerSafe.dll->KERNEL32.dll:TlsFree		0x0000000077191AC0->0x00000000099C1AC0		Iat		C0 1A 9C 09		C0 1A 19 77
TerSafe.dll->KERNEL32.dll:GetSystemTimeAsFileTime		0x000000007718FF20->0x00000000099BFF20		Iat		20 FF 9B 09		20 FF 18 77
[*]TerSafe.dll->KERNEL32.dll:CompareStringW		0x000000007718EFE0->0x00000000099BEFE0		Iat		E0 EF 9B 09		E0 EF 18 77
TerSafe.dll->KERNEL32.dll:LCMapStringW		0x0000000077191A10->0x00000000099C1A10		Iat		10 1A 9C 09		10 1A 19 77
[*]TerSafe.dll->KERNEL32.dll:GetLocaleInfoW		0x0000000077190D30->0x00000000099C0D30		Iat		30 0D 9C 09		30 0D 19 77
TerSafe.dll->KERNEL32.dll:GetStringTypeW		0x0000000077191750->0x00000000099C1750		Iat		50 17 9C 09		50 17 19 77
[*]TerSafe.dll->KERNEL32.dll:GetCPInfo		0x0000000077192210->0x00000000099C2210		Iat		10 22 9C 09		10 22 19 77
TerSafe.dll->KERNEL32.dll:UnhandledExceptionFilter		0x00000000771A5EF0->0x00000000099D5EF0		Iat		F0 5E 9D 09		F0 5E 1A 77
[*]TerSafe.dll->KERNEL32.dll:SetUnhandledExceptionFilter		0x00000000771923B0->0x00000000099C23B0		Iat		B0 23 9C 09		B0 23 19 77
TerSafe.dll->KERNEL32.dll:TerminateProcess		0x000000007718A380->0x00000000099BA380		Iat		80 A3 9B 09		80 A3 18 77
[*]TerSafe.dll->KERNEL32.dll:IsProcessorFeaturePresent		0x0000000077191670->0x00000000099C1670		Iat		70 16 9C 09		70 16 19 77
TerSafe.dll->KERNEL32.dll:ResetEvent		0x0000000077193AE0->0x00000000099C3AE0		Iat		E0 3A 9C 09		E0 3A 19 77
[*]TerSafe.dll->KERNEL32.dll:WaitForSingleObjectEx		0x0000000077193B50->0x00000000099C3B50		Iat		50 3B 9C 09		50 3B 19 77
TerSafe.dll->KERNEL32.dll:IsDebuggerPresent		0x0000000077192B80->0x00000000099C2B80		Iat		80 2B 9C 09		80 2B 19 77
[*]TerSafe.dll->KERNEL32.dll:GetStartupInfoW		0x0000000077192250->0x00000000099C2250		Iat		50 22 9C 09		50 22 19 77
TerSafe.dll->KERNEL32.dll:QueryPerformanceCounter		0x0000000077190000->0x00000000099C0000		Iat		00 00 9C 09		00 00 19 77
TerSafe.dll->KERNEL32.dll:OpenProcess		0x0000000077191370->0x00000000099C1370		Iat		70 13 9C 09		70 13 19 77
[*]TerSafe.dll->KERNEL32.dll:ExitProcess		0x0000000077194F20->0x00000000099C4F20		Iat		20 4F 9C 09		20 4F 19 77
TerSafe.dll->KERNEL32.dll:OutputDebugStringA		0x0000000077189DA0->0x00000000099B9DA0		Iat		A0 9D 9B 09		A0 9D 18 77
[*]TerSafe.dll->KERNEL32.dll:CreateToolhelp32Snapshot		0x0000000077194F40->0x00000000099C4F40		Iat		40 4F 9C 09		40 4F 19 77
TerSafe.dll->KERNEL32.dll:Process32First		0x0000000077189C30->0x00000000099B9C30		Iat		30 9C 9B 09		30 9C 18 77
[*]TerSafe.dll->KERNEL32.dll:Process32Next		0x0000000077187D80->0x00000000099B7D80		Iat		80 7D 9B 09		80 7D 18 77
TerSafe.dll->KERNEL32.dll:OutputDebugStringW		0x00000000771A50C0->0x00000000099D50C0		Iat		C0 50 9D 09		C0 50 1A 77
[*]TerSafe.dll->KERNEL32.dll:SleepEx		0x0000000077193B10->0x00000000099C3B10		Iat		10 3B 9C 09		10 3B 19 77
TerSafe.dll->KERNEL32.dll:FreeLibrary		0x0000000077191930->0x00000000099C1930		Iat		30 19 9C 09		30 19 19 77
[*]TerSafe.dll->KERNEL32.dll:WaitForMultipleObjects		0x0000000077193B20->0x00000000099C3B20		Iat		20 3B 9C 09		20 3B 19 77
TerSafe.dll->KERNEL32.dll:GetFileType		0x0000000077193E00->0x00000000099C3E00		Iat		00 3E 9C 09		00 3E 19 77
[*]TerSafe.dll->KERNEL32.dll:GetStdHandle		0x0000000077192390->0x00000000099C2390		Iat		90 23 9C 09		90 23 19 77
TerSafe.dll->KERNEL32.dll:PeekNamedPipe		0x00000000771A50D0->0x00000000099D50D0		Iat		D0 50 9D 09		D0 50 1A 77
[*]TerSafe.dll->KERNEL32.dll:FormatMessageA		0x0000000077189590->0x00000000099B9590		Iat		90 95 9B 09		90 95 18 77
[*]TerSafe.dll->KERNEL32.dll:GetSystemDirectoryA		0x0000000077188760->0x00000000099B8760		Iat		60 87 9B 09		60 87 18 77
TerSafe.dll->KERNEL32.dll:VerifyVersionInfoA		0x0000000077185F30->0x00000000099B5F30		Iat		30 5F 9B 09		30 5F 18 77
[*]TerSafe.dll->KERNEL32.dll:FlushConsoleInputBuffer		0x0000000077194450->0x00000000099C4450		Iat		50 44 9C 09		50 44 19 77
[*]TerSafe.dll->USER32.dll:wsprintfA		0x0000000076F9B780->0x0000000009EAB780		Iat		80 B7 EA 09		80 B7 F9 76
TerSafe.dll->USER32.dll:GetDesktopWindow		0x0000000076FAA100->0x0000000009EBA100		Iat		00 A1 EB 09		00 A1 FA 76
[*]TerSafe.dll->USER32.dll:GetProcessWindowStation		0x0000000076FB6EA0->0x0000000009EC6EA0		Iat		A0 6E EC 09		A0 6E FB 76
TerSafe.dll->USER32.dll:GetUserObjectInformationW		0x0000000076FB6F80->0x0000000009EC6F80		Iat		80 6F EC 09		80 6F FB 76
[*]TerSafe.dll->USER32.dll:SetTimer		0x0000000076FB43F0->0x0000000009EC43F0		Iat		F0 43 EC 09		F0 43 FB 76
TerSafe.dll->USER32.dll:KillTimer		0x0000000076FB7230->0x0000000009EC7230		Iat		30 72 EC 09		30 72 FB 76
[*]TerSafe.dll->USER32.dll:UnregisterClassA		0x0000000076F94E00->0x0000000009EA4E00		Iat		00 4E EA 09		00 4E F9 76
TerSafe.dll->USER32.dll:TranslateMessage		0x0000000076FAA600->0x0000000009EBA600		Iat		00 A6 EB 09		00 A6 FA 76
[*]TerSafe.dll->USER32.dll:DispatchMessageA		0x0000000076F9BB30->0x0000000009EABB30		Iat		30 BB EA 09		30 BB F9 76
TerSafe.dll->USER32.dll:PeekMessageA		0x0000000076F969D0->0x0000000009EA69D0		Iat		D0 69 EA 09		D0 69 F9 76
[*]TerSafe.dll->USER32.dll:SendMessageA		0x0000000076F96D20->0x0000000009EA6D20		Iat		20 6D EA 09		20 6D F9 76
TerSafe.dll->USER32.dll:CreateWindowExA		0x0000000076F9C340->0x0000000009EAC340		Iat		40 C3 EA 09		40 C3 F9 76
[*]TerSafe.dll->USER32.dll:IsWindow		0x0000000076FA4410->0x0000000009EB4410		Iat		10 44 EB 09		10 44 FA 76
TerSafe.dll->USER32.dll:DestroyWindow		0x0000000076FB69B0->0x0000000009EC69B0		Iat		B0 69 EC 09		B0 69 FB 76
[*]TerSafe.dll->USER32.dll:MessageBoxA		0x0000000076FF1F70->0x0000000009F01F70		Iat		70 1F F0 09		70 1F FF 76
TerSafe.dll->ADVAPI32.dll:LookupPrivilegeValueA		0x0000000075DBAE00->0x0000000009CFAE00		Iat		00 AE CF 09		00 AE DB 75
[*]TerSafe.dll->ADVAPI32.dll:RegisterEventSourceA		0x0000000075DC7C10->0x0000000009D07C10		Iat		10 7C D0 09		10 7C DC 75
TerSafe.dll->ADVAPI32.dll:ReportEventA		0x0000000075DF2D30->0x0000000009D32D30		Iat		30 2D D3 09		30 2D DF 75
[*]TerSafe.dll->ADVAPI32.dll:DeregisterEventSource		0x0000000075DC5070->0x0000000009D05070		Iat		70 50 D0 09		70 50 DC 75
TerSafe.dll->ADVAPI32.dll:AdjustTokenPrivileges		0x0000000075DBE200->0x0000000009CFE200		Iat		00 E2 CF 09		00 E2 DB 75
[*]TerSafe.dll->ADVAPI32.dll:OpenProcessToken		0x0000000075DBD1B0->0x0000000009CFD1B0		Iat		B0 D1 CF 09		B0 D1 DB 75
[*]TenRPCS.dll->KERNEL32.dll:TlsFree		0x0000000077191AC0->0x00000000099C1AC0		Iat		C0 1A 9C 09		C0 1A 19 77
TenRPCS.dll->KERNEL32.dll:TlsSetValue		0x000000007718EF90->0x00000000099BEF90		Iat		90 EF 9B 09		90 EF 18 77
[*]TenRPCS.dll->KERNEL32.dll:TlsGetValue		0x000000007718EF40->0x00000000099BEF40		Iat		40 EF 9B 09		40 EF 18 77
TenRPCS.dll->KERNEL32.dll:TlsAlloc		0x0000000077191DC0->0x00000000099C1DC0		Iat		C0 1D 9C 09		C0 1D 19 77
[*]TenRPCS.dll->KERNEL32.dll:FindClose		0x0000000077193C10->0x00000000099C3C10		Iat		10 3C 9C 09		10 3C 19 77
TenRPCS.dll->KERNEL32.dll:GetModuleFileNameW		0x0000000077191D80->0x00000000099C1D80		Iat		80 1D 9C 09		80 1D 19 77
[*]TenRPCS.dll->KERNEL32.dll:GetModuleHandleW		0x0000000077191990->0x00000000099C1990		Iat		90 19 9C 09		90 19 19 77
TenRPCS.dll->KERNEL32.dll:FindFirstFileW		0x0000000077193C90->0x00000000099C3C90		Iat		90 3C 9C 09		90 3C 19 77
[*]TenRPCS.dll->KERNEL32.dll:Sleep		0x0000000077191AB0->0x00000000099C1AB0		Iat		B0 1A 9C 09		B0 1A 19 77
TenRPCS.dll->KERNEL32.dll:GetProcAddress		0x00000000771905A0->0x00000000099C05A0		Iat		A0 05 9C 09		A0 05 19 77
[*]TenRPCS.dll->KERNEL32.dll:LoadLibraryA		0x0000000077192280->0x00000000099C2280		Iat		80 22 9C 09		80 22 19 77
TenRPCS.dll->KERNEL32.dll:GetModuleHandleA		0x00000000771916D0->0x00000000099C16D0		Iat		D0 16 9C 09		D0 16 19 77
[*]TenRPCS.dll->KERNEL32.dll:SetUnhandledExceptionFilter		0x00000000771923B0->0x00000000099C23B0		Iat		B0 23 9C 09		B0 23 19 77
TenRPCS.dll->KERNEL32.dll:GetLastError		0x000000007718F020->0x00000000099BF020		Iat		20 F0 9B 09		20 F0 18 77
[*]TenRPCS.dll->KERNEL32.dll:InitializeCriticalSectionAndSpinCount		0x0000000077193A50->0x00000000099C3A50		Iat		50 3A 9C 09		50 3A 19 77
TenRPCS.dll->KERNEL32.dll:GetTickCount		0x0000000077192E20->0x00000000099C2E20		Iat		20 2E 9C 09		20 2E 19 77
[*]TenRPCS.dll->KERNEL32.dll:MultiByteToWideChar		0x000000007718EFB0->0x00000000099BEFB0		Iat		B0 EF 9B 09		B0 EF 18 77
TenRPCS.dll->KERNEL32.dll:GetModuleFileNameA		0x0000000077191950->0x00000000099C1950		Iat		50 19 9C 09		50 19 19 77
[*]TenRPCS.dll->KERNEL32.dll:LoadLibraryW		0x0000000077192350->0x00000000099C2350		Iat		50 23 9C 09		50 23 19 77
TenRPCS.dll->KERNEL32.dll:FreeLibrary		0x0000000077191930->0x00000000099C1930		Iat		30 19 9C 09		30 19 19 77
[*]TenRPCS.dll->KERNEL32.dll:VirtualAlloc		0x000000007718FF00->0x00000000099BFF00		Iat		00 FF 9B 09		00 FF 18 77
TenRPCS.dll->KERNEL32.dll:VirtualFree		0x000000007718FF30->0x00000000099BFF30		Iat		30 FF 9B 09		30 FF 18 77
[*]TenRPCS.dll->KERNEL32.dll:VirtualProtect		0x0000000077190C10->0x00000000099C0C10		Iat		10 0C 9C 09		10 0C 19 77
TenRPCS.dll->KERNEL32.dll:GetCurrentProcessId		0x0000000077193900->0x00000000099C3900		Iat		00 39 9C 09		00 39 19 77
[*]TenRPCS.dll->KERNEL32.dll:GetCurrentThreadId		0x000000007718EF60->0x00000000099BEF60		Iat		60 EF 9B 09		60 EF 18 77
TenRPCS.dll->KERNEL32.dll:OpenThread		0x0000000077190B00->0x00000000099C0B00		Iat		00 0B 9C 09		00 0B 19 77
[*]TenRPCS.dll->KERNEL32.dll:SuspendThread		0x00000000771A5E60->0x00000000099D5E60		Iat		60 5E 9D 09		60 5E 1A 77
TenRPCS.dll->KERNEL32.dll:ResumeThread		0x00000000771925D0->0x00000000099C25D0		Iat		D0 25 9C 09		D0 25 19 77
[*]TenRPCS.dll->KERNEL32.dll:CloseHandle		0x0000000077193950->0x00000000099C3950		Iat		50 39 9C 09		50 39 19 77
TenRPCS.dll->KERNEL32.dll:IsBadReadPtr		0x0000000077181540->0x00000000099B1540		Iat		40 15 9B 09		40 15 18 77
[*]TenRPCS.dll->KERNEL32.dll:CreateToolhelp32Snapshot		0x0000000077194F40->0x00000000099C4F40		Iat		40 4F 9C 09		40 4F 19 77
TenRPCS.dll->KERNEL32.dll:Thread32First		0x00000000771CAED0->0x00000000099FAED0		Iat		D0 AE 9F 09		D0 AE 1C 77
[*]TenRPCS.dll->KERNEL32.dll:Thread32Next		0x00000000771CAF80->0x00000000099FAF80		Iat		80 AF 9F 09		80 AF 1C 77
TenRPCS.dll->KERNEL32.dll:OpenProcess		0x0000000077191370->0x00000000099C1370		Iat		70 13 9C 09		70 13 19 77
[*]TenRPCS.dll->KERNEL32.dll:GetCurrentProcess		0x00000000771938F0->0x00000000099C38F0		Iat		F0 38 9C 09		F0 38 19 77
TenRPCS.dll->KERNEL32.dll:GetProcessTimes		0x000000007718FF60->0x00000000099BFF60		Iat		60 FF 9B 09		60 FF 18 77
[*]TenRPCS.dll->KERNEL32.dll:ReadProcessMemory		0x00000000771A5440->0x00000000099D5440		Iat		40 54 9D 09		40 54 1A 77
TenRPCS.dll->KERNEL32.dll:GetSystemTime		0x0000000077192300->0x00000000099C2300		Iat		00 23 9C 09		00 23 19 77
[*]TenRPCS.dll->KERNEL32.dll:SystemTimeToFileTime		0x0000000077191F00->0x00000000099C1F00		Iat		00 1F 9C 09		00 1F 19 77
TenRPCS.dll->KERNEL32.dll:WideCharToMultiByte		0x000000007718F000->0x00000000099BF000		Iat		00 F0 9B 09		00 F0 18 77
[*]TenRPCS.dll->KERNEL32.dll:Process32FirstW		0x0000000077192710->0x00000000099C2710		Iat		10 27 9C 09		10 27 19 77
TenRPCS.dll->KERNEL32.dll:Process32NextW		0x00000000771912B0->0x00000000099C12B0		Iat		B0 12 9C 09		B0 12 19 77
[*]TenRPCS.dll->KERNEL32.dll:GetPrivateProfileStringW		0x0000000077181210->0x00000000099B1210		Iat		10 12 9B 09		10 12 18 77
TenRPCS.dll->KERNEL32.dll:GetFileAttributesW		0x0000000077193DB0->0x00000000099C3DB0		Iat		B0 3D 9C 09		B0 3D 19 77
[*]TenRPCS.dll->KERNEL32.dll:lstrcmpiW		0x00000000771905C0->0x00000000099C05C0		Iat		C0 05 9C 09		C0 05 19 77
TenRPCS.dll->KERNEL32.dll:CreateFileW		0x0000000077193BB0->0x00000000099C3BB0		Iat		B0 3B 9C 09		B0 3B 19 77
[*]TenRPCS.dll->KERNEL32.dll:QueryPerformanceCounter		0x0000000077190000->0x00000000099C0000		Iat		00 00 9C 09		00 00 19 77
TenRPCS.dll->KERNEL32.dll:QueryPerformanceFrequency		0x00000000771923F0->0x00000000099C23F0		Iat		F0 23 9C 09		F0 23 19 77
[*]TenRPCS.dll->KERNEL32.dll:ReadFile		0x0000000077193F30->0x00000000099C3F30		Iat		30 3F 9C 09		30 3F 19 77
TenRPCS.dll->KERNEL32.dll:GetFileSize		0x0000000077193DD0->0x00000000099C3DD0		Iat		D0 3D 9C 09		D0 3D 19 77
[*]TenRPCS.dll->KERNEL32.dll:MapViewOfFile		0x00000000771915A0->0x00000000099C15A0		Iat		A0 15 9C 09		A0 15 19 77
TenRPCS.dll->KERNEL32.dll:UnmapViewOfFile		0x00000000771919F0->0x00000000099C19F0		Iat		F0 19 9C 09		F0 19 19 77
[*]TenRPCS.dll->KERNEL32.dll:CreateFileMappingW		0x00000000771916F0->0x00000000099C16F0		Iat		F0 16 9C 09		F0 16 19 77
TenRPCS.dll->KERNEL32.dll:FileTimeToLocalFileTime		0x0000000077193C00->0x00000000099C3C00		Iat		00 3C 9C 09		00 3C 19 77
[*]TenRPCS.dll->KERNEL32.dll:FileTimeToSystemTime		0x0000000077194090->0x00000000099C4090		Iat		90 40 9C 09		90 40 19 77
TenRPCS.dll->KERNEL32.dll:SetFilePointer		0x0000000077193FC0->0x00000000099C3FC0		Iat		C0 3F 9C 09		C0 3F 19 77
[*]TenRPCS.dll->KERNEL32.dll:GetModuleHandleExW		0x00000000771922C0->0x00000000099C22C0		Iat		C0 22 9C 09		C0 22 19 77
TenRPCS.dll->KERNEL32.dll:FindNextFileW		0x0000000077193CE0->0x00000000099C3CE0		Iat		E0 3C 9C 09		E0 3C 19 77
[*]TenRPCS.dll->KERNEL32.dll:VirtualQuery		0x0000000077190640->0x000000000F7E7505[f:\game\dnf\地下城与勇士\DNFBase.dll]		Iat		05 75 7E 0F		40 06 19 77
TenRPCS.dll->KERNEL32.dll:WriteFile		0x0000000077194020->0x00000000099C4020		Iat		20 40 9C 09		20 40 19 77
[*]TenRPCS.dll->KERNEL32.dll:GetLocalTime		0x0000000077191690->0x00000000099C1690		Iat		90 16 9C 09		90 16 19 77
TenRPCS.dll->KERNEL32.dll:GetSystemTimeAsFileTime		0x000000007718FF20->0x00000000099BFF20		Iat		20 FF 9B 09		20 FF 18 77
[*]TenRPCS.dll->KERNEL32.dll:GetLogicalDriveStringsW		0x0000000077193E50->0x00000000099C3E50		Iat		50 3E 9C 09		50 3E 19 77
TenRPCS.dll->KERNEL32.dll:QueryDosDeviceW		0x0000000077193F20->0x00000000099C3F20		Iat		20 3F 9C 09		20 3F 19 77
[*]TenRPCS.dll->KERNEL32.dll:WaitForSingleObject		0x0000000077193B40->0x00000000099C3B40		Iat		40 3B 9C 09		40 3B 19 77
TenRPCS.dll->KERNEL32.dll:ReleaseMutex		0x0000000077193AC0->0x00000000099C3AC0		Iat		C0 3A 9C 09		C0 3A 19 77
[*]TenRPCS.dll->KERNEL32.dll:CreateMutexA		0x00000000771939E0->0x00000000099C39E0		Iat		E0 39 9C 09		E0 39 19 77
TenRPCS.dll->KERNEL32.dll:CreateThread		0x0000000077191A80->0x00000000099C1A80		Iat		80 1A 9C 09		80 1A 19 77
[*]TenRPCS.dll->KERNEL32.dll:TerminateThread		0x00000000771A5E80->0x00000000099D5E80		Iat		80 5E 9D 09		80 5E 1A 77
TenRPCS.dll->KERNEL32.dll:InterlockedExchangeAdd		0x0000000077186CC0->0x00000000099B6CC0		Iat		C0 6C 9B 09		C0 6C 18 77
[*]TenRPCS.dll->KERNEL32.dll:GetThreadContext		0x00000000771A4810->0x00000000099D4810		Iat		10 48 9D 09		10 48 1A 77
TenRPCS.dll->KERNEL32.dll:LCMapStringW		0x0000000077191A10->0x00000000099C1A10		Iat		10 1A 9C 09		10 1A 19 77
[*]TenRPCS.dll->KERNEL32.dll:SleepEx		0x0000000077193B10->0x00000000099C3B10		Iat		10 3B 9C 09		10 3B 19 77
TenRPCS.dll->KERNEL32.dll:InterlockedCompareExchange		0x0000000077185E40->0x00000000099B5E40		Iat		40 5E 9B 09		40 5E 18 77
[*]TenRPCS.dll->KERNEL32.dll:FlushInstructionCache		0x0000000077191710->0x00000000099C1710		Iat		10 17 9C 09		10 17 19 77
TenRPCS.dll->KERNEL32.dll:SetThreadContext		0x00000000771A5CF0->0x00000000099D5CF0		Iat		F0 5C 9D 09		F0 5C 1A 77
[*]TenRPCS.dll->KERNEL32.dll:VirtualQueryEx		0x00000000771A6010->0x000000000F7E7511[f:\game\dnf\地下城与勇士\DNFBase.dll]		Iat		11 75 7E 0F		10 60 1A 77
TenRPCS.dll->KERNEL32.dll:CreateFileA		0x0000000077193BA0->0x00000000099C3BA0		Iat		A0 3B 9C 09		A0 3B 19 77
[*]TenRPCS.dll->KERNEL32.dll:Process32First		0x0000000077189C30->0x00000000099B9C30		Iat		30 9C 9B 09		30 9C 18 77
TenRPCS.dll->KERNEL32.dll:GetProcessHeap		0x0000000077190590->0x00000000099C0590		Iat		90 05 9C 09		90 05 19 77
[*]TenRPCS.dll->KERNEL32.dll:OpenFileMappingA		0x00000000771889F0->0x00000000099B89F0		Iat		F0 89 9B 09		F0 89 18 77
TenRPCS.dll->KERNEL32.dll:GetSystemInfo		0x0000000077192560->0x00000000099C2560		Iat		60 25 9C 09		60 25 19 77
[*]TenRPCS.dll->KERNEL32.dll:GetStartupInfoA		0x0000000077191770->0x00000000099C1770		Iat		70 17 9C 09		70 17 19 77
TenRPCS.dll->KERNEL32.dll:lstrlenA		0x0000000077190D10->0x00000000099C0D10		Iat		10 0D 9C 09		10 0D 19 77
[*]TenRPCS.dll->KERNEL32.dll:GlobalMemoryStatusEx		0x0000000077192950->0x00000000099C2950		Iat		50 29 9C 09		50 29 19 77
TenRPCS.dll->KERNEL32.dll:SetLastError		0x000000007718EFD0->0x00000000099BEFD0		Iat		D0 EF 9B 09		D0 EF 18 77
[*]TenRPCS.dll->KERNEL32.dll:InterlockedDecrement		0x000000007718FBE0->0x00000000099BFBE0		Iat		E0 FB 9B 09		E0 FB 18 77
TenRPCS.dll->KERNEL32.dll:GetVersionExA		0x0000000077192410->0x00000000099C2410		Iat		10 24 9C 09		10 24 19 77
[*]TenRPCS.dll->KERNEL32.dll:GetExitCodeProcess		0x0000000077189F40->0x00000000099B9F40		Iat		40 9F 9B 09		40 9F 18 77
TenRPCS.dll->KERNEL32.dll:GetStdHandle		0x0000000077192390->0x00000000099C2390		Iat		90 23 9C 09		90 23 19 77
[*]TenRPCS.dll->KERNEL32.dll:DuplicateHandle		0x0000000077193960->0x00000000099C3960		Iat		60 39 9C 09		60 39 19 77
TenRPCS.dll->KERNEL32.dll:CreatePipe		0x00000000771A3CC0->0x00000000099D3CC0		Iat		C0 3C 9D 09		C0 3C 1A 77
[*]TenRPCS.dll->KERNEL32.dll:PeekNamedPipe		0x00000000771A50D0->0x00000000099D50D0		Iat		D0 50 9D 09		D0 50 1A 77
TenRPCS.dll->KERNEL32.dll:CreateProcessA		0x00000000771A3CE0->0x00000000099D3CE0		Iat		E0 3C 9D 09		E0 3C 1A 77
[*]TenRPCS.dll->KERNEL32.dll:GetSystemDirectoryA		0x0000000077188760->0x00000000099B8760		Iat		60 87 9B 09		60 87 18 77
TenRPCS.dll->KERNEL32.dll:DeviceIoControl		0x000000007718FF80->0x00000000099BFF80		Iat		80 FF 9B 09		80 FF 18 77
[*]TenRPCS.dll->KERNEL32.dll:InterlockedExchange		0x0000000077183D10->0x00000000099B3D10		Iat		10 3D 9B 09		10 3D 18 77
[*]TenRPCS.dll->KERNEL32.dll:GetFileTime		0x0000000077193DF0->0x00000000099C3DF0		Iat		F0 3D 9C 09		F0 3D 19 77
TenRPCS.dll->KERNEL32.dll:TzSpecificLocalTimeToSystemTime		0x0000000077189700->0x00000000099B9700		Iat		00 97 9B 09		00 97 18 77
[*]TenRPCS.dll->KERNEL32.dll:GetTimeZoneInformation		0x00000000771928A0->0x00000000099C28A0		Iat		A0 28 9C 09		A0 28 19 77
TenRPCS.dll->KERNEL32.dll:FindFirstFileA		0x0000000077193C50->0x00000000099C3C50		Iat		50 3C 9C 09		50 3C 19 77
[*]TenRPCS.dll->KERNEL32.dll:FindNextFileA		0x0000000077193CC0->0x00000000099C3CC0		Iat		C0 3C 9C 09		C0 3C 19 77
TenRPCS.dll->KERNEL32.dll:GetWindowsDirectoryA		0x0000000077192900->0x00000000099C2900		Iat		00 29 9C 09		00 29 19 77
