[PC Hunter Standard][DNF.exe-->Ring3 Hook]: 1051
挂钩对象		挂钩位置		钩子类型		挂钩处当前值		挂钩处原始值
len(5) IMM32.DLL->ImmAssociateContext		0x0000000075C84FE0->_		inline		E9 B4 58 D3 98		8B FF 55 8B EC
len(5) IMM32.DLL->ImmProcessKey		0x0000000075C92130->_		inline		E9 9B 84 D1 98		8B FF 55 8B EC
dinput8.dll->KERNEL32.dll:SetUnhandledExceptionFilter		0x00000000771923B0->0x0000000061D88800[f:\game\dnf\地下城与勇士\start\TenProtect\BugTrace.dll]		Iat		00 88 D8 61		B0 23 19 77
len(5) dinput8.dll->DirectInput8Create		0x0000000064E033B0->_		inline		E9 4B 25 15 B9		8B FF 55 8B EC
len(5) dinput8.dll		0x0000000064E05110->_		inline		E9 CB 0A 15 B9		8B FF 55 8B EC
len(5) dinput8.dll		0x0000000064E12700->_		inline		E9 21 7B B9 A9		8B FF 55 8B EC
len(5) dinput8.dll		0x0000000064E128C0->_		inline		E9 BB 33 14 B9		8B FF 55 8B EC
len(6) dinput8.dll		0x0000000064E190A0->_		inline		68 F0 FC C0 0F C3		8B FF 55 8B EC 56
len(5) MSCTF.dll		0x0000000076729B30->_		inline		E9 C3 06 29 98		8B FF 55 8B EC
VSDDrvDLL.dll->KERNEL32.dll:SetUnhandledExceptionFilter		0x00000000771923B0->0x0000000061D88800[f:\game\dnf\地下城与勇士\start\TenProtect\BugTrace.dll]		Iat		00 88 D8 61		B0 23 19 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:12]		0x0000000077126E00->0x0000000009D76E00		Iat		00 6E D7 09		00 6E 12 77
TerSafe.dll->WS2_32.dll:[Ordinal:22]		0x00000000771208D0->0x0000000009D708D0		Iat		D0 08 D7 09		D0 08 12 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:116]		0x0000000077125190->0x0000000009D75190		Iat		90 51 D7 09		90 51 12 77
TerSafe.dll->WS2_32.dll:[Ordinal:20]		0x0000000077115550->0x0000000009D65550		Iat		50 55 D6 09		50 55 11 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:112]		0x0000000077127400->0x0000000009D77400		Iat		00 74 D7 09		00 74 12 77
TerSafe.dll->WS2_32.dll:[Ordinal:5]		0x00000000771215E0->0x0000000009D715E0		Iat		E0 15 D7 09		E0 15 12 77
[*]TerSafe.dll->WS2_32.dll:WSAIoctl		0x000000007711EDD0->0x0000000009D6EDD0		Iat		D0 ED D6 09		D0 ED 11 77
TerSafe.dll->WS2_32.dll:getaddrinfo		0x0000000077116310->0x0000000009D66310		Iat		10 63 D6 09		10 63 11 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:6]		0x000000007711F7A0->0x0000000009D6F7A0		Iat		A0 F7 D6 09		A0 F7 11 77
TerSafe.dll->WS2_32.dll:[Ordinal:151]		0x00000000771269B0->0x0000000009D769B0		Iat		B0 69 D7 09		B0 69 12 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:111]		0x00000000771270C0->0x0000000009D770C0		Iat		C0 70 D7 09		C0 70 12 77
TerSafe.dll->WS2_32.dll:[Ordinal:115]		0x00000000771219A0->0x0000000009D719A0		Iat		A0 19 D7 09		A0 19 12 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:52]		0x000000007713DE30->0x0000000009D8DE30		Iat		30 DE D8 09		30 DE 13 77
TerSafe.dll->WS2_32.dll:freeaddrinfo		0x00000000771159C0->0x0000000009D659C0		Iat		C0 59 D6 09		C0 59 11 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:1]		0x0000000077114AE0->0x0000000009D64AE0		Iat		E0 4A D6 09		E0 4A 11 77
TerSafe.dll->WS2_32.dll:[Ordinal:17]		0x0000000077114D50->0x0000000009D64D50		Iat		50 4D D6 09		50 4D 11 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:57]		0x000000007713DFD0->0x0000000009D8DFD0		Iat		D0 DF D8 09		D0 DF 13 77
TerSafe.dll->WS2_32.dll:[Ordinal:23]		0x000000007711BFA0->0x0000000009D6BFA0		Iat		A0 BF D6 09		A0 BF 11 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:21]		0x000000007711F120->0x0000000009D6F120		Iat		20 F1 D6 09		20 F1 11 77
TerSafe.dll->WS2_32.dll:[Ordinal:19]		0x0000000077115750->0x0000000009D65750		Iat		50 57 D6 09		50 57 11 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:18]		0x00000000771153B0->0x0000000009D653B0		Iat		B0 53 D6 09		B0 53 11 77
TerSafe.dll->WS2_32.dll:[Ordinal:16]		0x0000000077121460->0x0000000009D71460		Iat		60 14 D7 09		60 14 12 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:7]		0x0000000077120600->0x0000000009D70600		Iat		00 06 D7 09		00 06 12 77
TerSafe.dll->WS2_32.dll:[Ordinal:10]		0x0000000077121810->0x0000000009D71810		Iat		10 18 D7 09		10 18 12 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:4]		0x0000000077115650->0x0000000009D65650		Iat		50 56 D6 09		50 56 11 77
TerSafe.dll->WS2_32.dll:[Ordinal:3]		0x000000007711EAC0->0x0000000009D6EAC0		Iat		C0 EA D6 09		C0 EA 11 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:2]		0x000000007711CDA0->0x0000000009D6CDA0		Iat		A0 CD D6 09		A0 CD 11 77
TerSafe.dll->WS2_32.dll:[Ordinal:8]		0x0000000077114AC0->0x0000000009D64AC0		Iat		C0 4A D6 09		C0 4A 11 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:15]		0x00000000771269F0->0x0000000009D769F0		Iat		F0 69 D7 09		F0 69 12 77
TerSafe.dll->WS2_32.dll:[Ordinal:14]		0x0000000077114AC0->0x0000000009D64AC0		Iat		C0 4A D6 09		C0 4A 11 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:9]		0x00000000771269F0->0x0000000009D769F0		Iat		F0 69 D7 09		F0 69 12 77
TerSafe.dll->WS2_32.dll:[Ordinal:55]		0x000000007713E180->0x0000000009D8E180		Iat		80 E1 D8 09		80 E1 13 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:113]		0x000000007713C110->0x0000000009D8C110		Iat		10 C1 D8 09		10 C1 13 77
TerSafe.dll->WS2_32.dll:[Ordinal:13]		0x00000000771154B0->0x0000000009D654B0		Iat		B0 54 D6 09		B0 54 11 77
[*]TerSafe.dll->WS2_32.dll:[Ordinal:11]		0x0000000077126900->0x0000000009D76900		Iat		00 69 D7 09		00 69 12 77
[*]TerSafe.dll->WINMM.dll:timeGetTime		0x0000000073273A00->0x0000000009A83A00		Iat		00 3A A8 09		00 3A 27 73
TerSafe.dll->KERNEL32.dll:OpenThread		0x0000000077190B00->0x00000000099C0B00		Iat		00 0B 9C 09		00 0B 19 77
[*]TerSafe.dll->KERNEL32.dll:GetProcessTimes		0x000000007718FF60->0x00000000099BFF60		Iat		60 FF 9B 09		60 FF 18 77
TerSafe.dll->KERNEL32.dll:GlobalMemoryStatusEx		0x0000000077192950->0x00000000099C2950		Iat		50 29 9C 09		50 29 19 77
[*]TerSafe.dll->KERNEL32.dll:GetTickCount		0x0000000077192E20->0x00000000099C2E20		Iat		20 2E 9C 09		20 2E 19 77
[*]TerSafe.dll->KERNEL32.dll:InterlockedExchange		0x0000000077183D10->0x00000000099B3D10		Iat		10 3D 9B 09		10 3D 18 77
TerSafe.dll->KERNEL32.dll:InterlockedExchangeAdd		0x0000000077186CC0->0x00000000099B6CC0		Iat		C0 6C 9B 09		C0 6C 18 77
[*]TerSafe.dll->KERNEL32.dll:GetCurrentProcessId		0x0000000077193900->0x00000000099C3900		Iat		00 39 9C 09		00 39 19 77
TerSafe.dll->KERNEL32.dll:RaiseException		0x0000000077190C30->0x00000000099C0C30		Iat		30 0C 9C 09		30 0C 19 77
[*]TerSafe.dll->KERNEL32.dll:CreateThread		0x0000000077191A80->0x00000000099C1A80		Iat		80 1A 9C 09		80 1A 19 77
TerSafe.dll->KERNEL32.dll:TerminateThread		0x00000000771A5E80->0x00000000099D5E80		Iat		80 5E 9D 09		80 5E 1A 77
[*]TerSafe.dll->KERNEL32.dll:GetLastError		0x000000007718F020->0x00000000099BF020		Iat		20 F0 9B 09		20 F0 18 77
TerSafe.dll->KERNEL32.dll:SuspendThread		0x00000000771A5E60->0x00000000099D5E60		Iat		60 5E 9D 09		60 5E 1A 77
[*]TerSafe.dll->KERNEL32.dll:ResumeThread		0x00000000771925D0->0x00000000099C25D0		Iat		D0 25 9C 09		D0 25 19 77
TerSafe.dll->KERNEL32.dll:InitializeCriticalSectionAndSpinCount		0x0000000077193A50->0x00000000099C3A50		Iat		50 3A 9C 09		50 3A 19 77
[*]TerSafe.dll->KERNEL32.dll:SetEvent		0x0000000077193AF0->0x00000000099C3AF0		Iat		F0 3A 9C 09		F0 3A 19 77
TerSafe.dll->KERNEL32.dll:ReleaseMutex		0x0000000077193AC0->0x00000000099C3AC0		Iat		C0 3A 9C 09		C0 3A 19 77
[*]TerSafe.dll->KERNEL32.dll:WaitForSingleObject		0x0000000077193B40->0x00000000099C3B40		Iat		40 3B 9C 09		40 3B 19 77
TerSafe.dll->KERNEL32.dll:Sleep		0x0000000077191AB0->0x00000000099C1AB0		Iat		B0 1A 9C 09		B0 1A 19 77
[*]TerSafe.dll->KERNEL32.dll:CloseHandle		0x0000000077193950->0x00000000099C3950		Iat		50 39 9C 09		50 39 19 77
TerSafe.dll->KERNEL32.dll:MapViewOfFile		0x00000000771915A0->0x00000000099C15A0		Iat		A0 15 9C 09		A0 15 19 77
[*]TerSafe.dll->KERNEL32.dll:CreateMutexA		0x00000000771939E0->0x00000000099C39E0		Iat		E0 39 9C 09		E0 39 19 77
TerSafe.dll->KERNEL32.dll:CreateEventA		0x00000000771939A0->0x00000000099C39A0		Iat		A0 39 9C 09		A0 39 19 77
[*]TerSafe.dll->KERNEL32.dll:CreateFileMappingA		0x0000000077185EC0->0x00000000099B5EC0		Iat		C0 5E 9B 09		C0 5E 18 77
TerSafe.dll->KERNEL32.dll:LoadLibraryW		0x0000000077192350->0x00000000099C2350		Iat		50 23 9C 09		50 23 19 77
[*]TerSafe.dll->KERNEL32.dll:GetModuleFileNameW		0x0000000077191D80->0x00000000099C1D80		Iat		80 1D 9C 09		80 1D 19 77
TerSafe.dll->KERNEL32.dll:GetModuleHandleA		0x00000000771916D0->0x00000000099C16D0		Iat		D0 16 9C 09		D0 16 19 77
[*]TerSafe.dll->KERNEL32.dll:GetCommandLineA		0x0000000077192970->0x00000000099C2970		Iat		70 29 9C 09		70 29 19 77
TerSafe.dll->KERNEL32.dll:CreateTimerQueueTimer		0x00000000771A3E70->0x00000000099D3E70		Iat		70 3E 9D 09		70 3E 1A 77
[*]TerSafe.dll->KERNEL32.dll:DeleteTimerQueueTimer		0x00000000771A3F40->0x00000000099D3F40		Iat		40 3F 9D 09		40 3F 1A 77
TerSafe.dll->KERNEL32.dll:GetSystemInfo		0x0000000077192560->0x00000000099C2560		Iat		60 25 9C 09		60 25 19 77
[*]TerSafe.dll->KERNEL32.dll:IsBadReadPtr		0x0000000077181540->0x00000000099B1540		Iat		40 15 9B 09		40 15 18 77
TerSafe.dll->KERNEL32.dll:GetDiskFreeSpaceExA		0x0000000077193D30->0x00000000099C3D30		Iat		30 3D 9C 09		30 3D 19 77
[*]TerSafe.dll->KERNEL32.dll:GetProcAddress		0x00000000771905A0->0x00000000099C05A0		Iat		A0 05 9C 09		A0 05 19 77
TerSafe.dll->KERNEL32.dll:VirtualAlloc		0x000000007718FF00->0x00000000099BFF00		Iat		00 FF 9B 09		00 FF 18 77
[*]TerSafe.dll->KERNEL32.dll:VirtualFree		0x000000007718FF30->0x00000000099BFF30		Iat		30 FF 9B 09		30 FF 18 77
TerSafe.dll->KERNEL32.dll:GetCurrentProcess		0x00000000771938F0->0x00000000099C38F0		Iat		F0 38 9C 09		F0 38 19 77
[*]TerSafe.dll->KERNEL32.dll:LoadLibraryA		0x0000000077192280->0x00000000099C2280		Iat		80 22 9C 09		80 22 19 77
