[PC Hunter Standard][DPC]: 85
定时器对象		触发周期(ms)		函数入口		函数入口所在内核模块
0xFFFFF80461D608C0		0		0xFFFFF80461D0ABD0		C:\Windows\System32\drivers\wnv.sys
0xFFFFCD87EC61C4A8		2000		0xFFFFF80855CA3870		C:\Windows\System32\drivers\storport.sys
0xFFFFCD87F24BED00		0		0xFFFFF8045FF75430		C:\Windows\system32\ntoskrnl.exe
0xFFFFCD87EC5B9470		0		0xFFFFF80464CE3BD0		C:\Windows\System32\DRIVERS\netbt.sys
0xFFFFF80855CFD3E0		0		0xFFFFF80855CA5040		C:\Windows\System32\drivers\storport.sys
0xFFFFCD87EC921048		2000		0xFFFFF808541C1010		C:\Windows\System32\drivers\CLASSPNP.SYS
0xFFFFCD87F2D6B660		0		0xFFFFF804670B7480		C:\Windows\System32\DriverStore\FileRepository\igdlh64.inf_amd64_24de78387e6208e4\igdkmd64.sys
0xFFFFF8045EE53118		60000		0xFFFFF8045FE1DB30		C:\Windows\system32\ntoskrnl.exe
0xFFFFBA014F0C6118		60000		0xFFFFF8045FE1DB30		C:\Windows\system32\ntoskrnl.exe
0xFFFFBA014F159118		60000		0xFFFFF8045FE1DB30		C:\Windows\system32\ntoskrnl.exe
0xFFFFBA014F27B118		60000		0xFFFFF8045FE1DB30		C:\Windows\system32\ntoskrnl.exe
0xFFFFBA014F446118		60000		0xFFFFF8045FE1DB30		C:\Windows\system32\ntoskrnl.exe
0xFFFFBA014F49B118		60000		0xFFFFF8045FE1DB30		C:\Windows\system32\ntoskrnl.exe
0xFFFFCD87F42E84A0		0		0xFFFFF808543C4A30		C:\Windows\system32\DRIVERS\rdbss.sys
0xFFFFF804608D6D40		120000		0xFFFFF80460873110		C:\Windows\system32\hal.dll
0xFFFFCD87ECDC3278		0		0xFFFFF808548AEDE0		C:\Windows\system32\drivers\ndis.sys
0xFFFFCD87F23A5B00		0		0xFFFFF8045FF75430		C:\Windows\system32\ntoskrnl.exe
0xFFFFF8046020DC60		0		0xFFFFF8045FF5E100		C:\Windows\system32\ntoskrnl.exe
0xFFFFCD880D144DB0		0		0xFFFFF80464B5BDF0		C:\Windows\system32\drivers\afd.sys
0xFFFFF80855CFD320		0		0xFFFFF80855CA5040		C:\Windows\System32\drivers\storport.sys
0xFFFFCD87F3FAD228		944848		0xFFFFF80465B81390		C:\Windows\system32\drivers\mslldp.sys
0xFFFFCD87F3FAF228		944848		0xFFFFF80465B81390		C:\Windows\system32\drivers\mslldp.sys
0xFFFFCD87F3FB1228		944848		0xFFFFF80465B81390		C:\Windows\system32\drivers\mslldp.sys
0xFFFFCD87F3FB4228		944848		0xFFFFF80465B81390		C:\Windows\system32\drivers\mslldp.sys
0xFFFFCD87F3F6D228		944848		0xFFFFF80465B81390		C:\Windows\system32\drivers\mslldp.sys
0xFFFFF80855045070		300000		0xFFFFF808550122C0		C:\Windows\System32\drivers\rdyboost.sys
