[PC Hunter Standard][IDT]: 1536
Cpu序号		序号		函数名称		段选择子		当前函数地址		Hook		原始函数地址		当前函数地址所在模块
0		31		KiUnexpectedInterrupt1		0x02		0xFFFFF80460131000		-		0xFFFFF80460131000		C:\Windows\system32\ntoskrnl.exe
0		32		KiUnexpectedInterrupt2		0x02		0xFFFFF80460131080		-		0xFFFFF80460131080		C:\Windows\system32\ntoskrnl.exe
0		33		KiUnexpectedInterrupt3		0x02		0xFFFFF80460131100		-		0xFFFFF80460131100		C:\Windows\system32\ntoskrnl.exe
0		34		KiUnexpectedInterrupt4		0x02		0xFFFFF80460131180		-		0xFFFFF80460131180		C:\Windows\system32\ntoskrnl.exe
0		35		KiUnexpectedInterrupt5		0x02		0xFFFFF80460131428		-		0xFFFFF80460131428		C:\Windows\system32\ntoskrnl.exe
0		36		KiUnexpectedInterrupt6		0x02		0xFFFFF80460131430		-		0xFFFFF80460131430		C:\Windows\system32\ntoskrnl.exe
0		37		KiUnexpectedInterrupt7		0x02		0xFFFFF80460131438		-		0xFFFFF80460131438		C:\Windows\system32\ntoskrnl.exe
0		38		KiUnexpectedInterrupt8		0x02		0xFFFFF80460131440		-		0xFFFFF80460131440		C:\Windows\system32\ntoskrnl.exe
0		39		KiUnexpectedInterrupt9		0x02		0xFFFFF80460131448		-		0xFFFFF80460131448		C:\Windows\system32\ntoskrnl.exe
0		3A		KiUnexpectedInterrupt10		0x02		0xFFFFF80460131450		-		0xFFFFF80460131450		C:\Windows\system32\ntoskrnl.exe
0		3B		KiUnexpectedInterrupt11		0x02		0xFFFFF80460131458		-		0xFFFFF80460131458		C:\Windows\system32\ntoskrnl.exe
0		3C		KiUnexpectedInterrupt12		0x02		0xFFFFF80460131460		-		0xFFFFF80460131460		C:\Windows\system32\ntoskrnl.exe
0		3D		KiUnexpectedInterrupt13		0x02		0xFFFFF80460131468		-		0xFFFFF80460131468		C:\Windows\system32\ntoskrnl.exe
0		3E		KiUnexpectedInterrupt14		0x02		0xFFFFF80460131470		-		0xFFFFF80460131470		C:\Windows\system32\ntoskrnl.exe
0		3F		KiUnexpectedInterrupt15		0x02		0xFFFFF80460131478		-		0xFFFFF80460131478		C:\Windows\system32\ntoskrnl.exe
0		40		KiUnexpectedInterrupt16		0x02		0xFFFFF80460131480		-		0xFFFFF80460131480		C:\Windows\system32\ntoskrnl.exe
0		41		KiUnexpectedInterrupt17		0x02		0xFFFFF80460131488		-		0xFFFFF80460131488		C:\Windows\system32\ntoskrnl.exe
0		42		KiUnexpectedInterrupt18		0x02		0xFFFFF80460131490		-		0xFFFFF80460131490		C:\Windows\system32\ntoskrnl.exe
0		43		KiUnexpectedInterrupt19		0x02		0xFFFFF80460131498		-		0xFFFFF80460131498		C:\Windows\system32\ntoskrnl.exe
0		44		KiUnexpectedInterrupt20		0x02		0xFFFFF804601314A0		-		0xFFFFF804601314A0		C:\Windows\system32\ntoskrnl.exe
0		45		KiUnexpectedInterrupt21		0x02		0xFFFFF804601314A8		-		0xFFFFF804601314A8		C:\Windows\system32\ntoskrnl.exe
