[PC Hunter Standard][内核模块]: 203
驱动名		基地址		大小		驱动对象		驱动路径		服务名		加载顺序		文件厂商
wanarp.sys		0xFFFFF80461EE0000		0x0001C000		0xFFFFCD87EAA73AD0		C:\Windows\System32\DRIVERS\wanarp.sys		wanarp		161		Microsoft Corporation
ndisuio.sys		0xFFFFF80461830000		0x00018000		0xFFFFCD87F410FE00		C:\Windows\system32\drivers\ndisuio.sys		Ndisuio		162		Microsoft Corporation
nwifi.sys		0xFFFFF80465410000		0x0008C000		0xFFFFCD87F3DCE8F0		C:\Windows\system32\DRIVERS\nwifi.sys		NativeWifiP		163		Microsoft Corporation
winquic.sys		0xFFFFF804654A0000		0x0002B000		0xFFFFCD87F41612F0		C:\Windows\system32\drivers\winquic.sys		WinQuic		164		Microsoft Corporation
HTTP.sys		0xFFFFF804654D0000		0x00139000		0xFFFFCD87F4171C30		C:\Windows\system32\drivers\HTTP.sys		HTTP		165		Microsoft Corporation
bowser.sys		0xFFFFF80465610000		0x00025000		0xFFFFCD87F42CFDD0		C:\Windows\system32\DRIVERS\bowser.sys		bowser		166		Microsoft Corporation
mpsdrv.sys		0xFFFFF80465640000		0x0001A000		0xFFFFCD87F42D62F0		C:\Windows\System32\drivers\mpsdrv.sys		mpsdrv		167		Microsoft Corporation
mrxsmb.sys		0xFFFFF80465660000		0x00089000		0xFFFFCD87F42609F0		C:\Windows\system32\DRIVERS\mrxsmb.sys		mrxsmb		168		Microsoft Corporation
mrxsmb20.sys		0xFFFFF804656F0000		0x00046000		0xFFFFCD87F42E9E50		C:\Windows\system32\DRIVERS\mrxsmb20.sys		mrxsmb20		169		Microsoft Corporation
vmx86.sys		0xFFFFF80465740000		0x00020000		0xFFFFCD87F436C2D0		C:\Windows\system32\DRIVERS\vmx86.sys		vmx86		170		VMware, Inc.
hcmon.sys		0xFFFFF80465770000		0x00015000		0xFFFFCD87F436BDF0		C:\Windows\system32\DRIVERS\hcmon.sys		hcmon		171		VMware, Inc.
IntelHaxm.sys		0xFFFFF80465790000		0x0002E000		0xFFFFCD87F4395C00		C:\Windows\system32\DRIVERS\IntelHaxm.sys		IntelHaxm		172		Intel  Corporation
mmcss.sys		0xFFFFF804657C0000		0x00014000		0xFFFFCD87F4388390		C:\Windows\system32\drivers\mmcss.sys		MMCSS		173		Microsoft Corporation
mqac.sys		0xFFFFF804657E0000		0x00033000		0xFFFFCD87F4493D20		C:\Windows\system32\drivers\mqac.sys		MQAC		174		Microsoft Corporation
srvnet.sys		0xFFFFF80465820000		0x0004E000		0xFFFFCD87F44A59F0		C:\Windows\System32\DRIVERS\srvnet.sys		srvnet		175		Microsoft Corporation
Ndu.sys		0xFFFFF80465870000		0x00027000		0xFFFFCD87F44C1E40		C:\Windows\system32\drivers\Ndu.sys		Ndu		176		Microsoft Corporation
peauth.sys		0xFFFFF80465120000		0x000D6000		0xFFFFCD87F44A78C0		C:\Windows\system32\drivers\peauth.sys		PEAUTH		177		Microsoft Corporation
tcpipreg.sys		0xFFFFF80465200000		0x00014000		0xFFFFCD87F453CE10		C:\Windows\System32\drivers\tcpipreg.sys		tcpipreg		178		Microsoft Corporation
vstor2-x64.sys		0xFFFFF80465BC0000		0x0000C000		0xFFFFCD87F4540DD0		C:\Windows\SysWOW64\drivers\vstor2-x64.sys		vstor2-mntapi20-shared		179		VMware, Inc.
srv2.sys		0xFFFFF80465220000		0x000C4000		0xFFFFCD87F4561B70		C:\Windows\System32\DRIVERS\srv2.sys		srv2		180		Microsoft Corporation
rassstp.sys		0xFFFFF804652F0000		0x0001C000		0xFFFFCD87F3A1C9F0		C:\Windows\System32\drivers\rassstp.sys		RasSstp		181		Microsoft Corporation
NDProxy.sys		0xFFFFF80465310000		0x00018000		0xFFFFCD87F44BFDF0		C:\Windows\System32\DRIVERS\NDProxy.sys		ndproxy		182		Microsoft Corporation
AgileVpn.sys		0xFFFFF80465330000		0x00027000		0xFFFFCD87F4616E20		C:\Windows\System32\drivers\AgileVpn.sys		RasAgileVpn		183		Microsoft Corporation
rasl2tp.sys		0xFFFFF80465360000		0x00021000		0xFFFFCD87F45E6E30		C:\Windows\System32\drivers\rasl2tp.sys		Rasl2tp		184		Microsoft Corporation
raspptp.sys		0xFFFFF804658A0000		0x00020000		0xFFFFCD87F4644E30		C:\Windows\System32\drivers\raspptp.sys		PptpMiniport		185		Microsoft Corporation
raspppoe.sys		0xFFFFF804658D0000		0x0001C000		0xFFFFCD87F4666E30		C:\Windows\System32\drivers\raspppoe.sys		RasPppoe		186		Microsoft Corporation
ndistapi.sys		0xFFFFF804658F0000		0x0000F000		0xFFFFCD87F4668E20		C:\Windows\System32\DRIVERS\ndistapi.sys		NdisTapi		187		Microsoft Corporation
ndiswan.sys		0xFFFFF80465900000		0x0003B000		0xFFFFCD87F461CE00		C:\Windows\System32\drivers\ndiswan.sys		NdisWan		188		Microsoft Corporation
condrv.sys		0xFFFFF80855DE0000		0x00013000		0xFFFFCD87F464A9F0		C:\Windows\System32\drivers\condrv.sys		condrv		189		Microsoft Corporation
hvsocketcontrol.sys		0xFFFFF80465940000		0x0000D000		0xFFFFCD87F4BCCE40		C:\Windows\system32\drivers\hvsocketcontrol.sys		hvsocketcontrol		190		Microsoft Corporation
vhdparser.sys		0xFFFFF80854440000		0x00010000		0xFFFFCD87F4BE3D70		C:\Windows\system32\drivers\vhdparser.sys		vhdparser		191		Microsoft Corporation
FsDepends.sys		0xFFFFF80854460000		0x00016000		0xFFFFCD87F4BD3D60		C:\Windows\System32\drivers\FsDepends.sys		FsDepends		192		Microsoft Corporation
vhdmp.sys		0xFFFFF804695B0000		0x000C1000		0xFFFFCD87F4BE6D40		C:\Windows\System32\drivers\vhdmp.sys		vhdmp		193		Microsoft Corporation
winnat.sys		0xFFFFF80469680000		0x00042000		0xFFFFCD87F5DDBE30		C:\Windows\system32\drivers\winnat.sys		WinNat		194		Microsoft Corporation
qwavedrv.sys		0xFFFFF804696D0000		0x00014000		0xFFFFCD87F572EA00		C:\Windows\system32\drivers\qwavedrv.sys		QWAVEdrv		195		Microsoft Corporation
vmusb.sys		0xFFFFF804696F0000		0x00011000		0xFFFFCD87F54CA530		C:\Windows\System32\drivers\vmusb.sys		vmusb		196		VMware, Inc.
TesMon.sys		0xFFFFF80468600000		0x00238000		0xFFFFCD87F5C8F060		C:\Windows\system32\drivers\TesMon.sys		TESMON		197		Tencent
WinUSB.SYS		0xFFFFF80468840000		0x0001E000		0xFFFFCD87F7DF5C00		C:\Windows\System32\drivers\WinUSB.SYS		WINUSB		198		Microsoft Corporation
tesrsdt.sys		0xFFFFF80468A60000		0x00062000		0xFFFFCD8804ADE2C0		C:\Windows\system32\drivers\tesrsdt.sys		tesrsdt		199		TENCENT
tesxnginx.sys		0xFFFFF80468B70000		0x0062B000		0xFFFFCD87FFFAE990		C:\Windows\tesxnginx.sys				200		文件不存在
PCHunter64as.sys		0xFFFFF804691A0000		0x000B9000		0xFFFFCD88042DCE30		C:\Users\Administrator\Desktop\PCHunter_free\PCHunter64as.sys				201		文件不存在
TesSafe.sys		0xFFFFF80469260000		0x001F0000		0xFFFFCD88068CF730		C:\Windows\system32\TesSafe.sys		TesSafe		202		TENCENT
