[PC Hunter Standard][内核模块]: 203
驱动名		基地址		大小		驱动对象		驱动路径		服务名		加载顺序		文件厂商
mountmgr.sys		0xFFFFF808541A0000		0x0001F000		0xFFFFCD87EC56E350		C:\Windows\System32\drivers\mountmgr.sys		mountmgr		41		Microsoft Corporation
iaStorAC.sys		0xFFFFF80855110000		0x00B81000		0xFFFFCD87EC56E900		C:\Windows\System32\drivers\iaStorAC.sys		iaStorAC		42		Intel Corporation
storport.sys		0xFFFFF80855CA0000		0x0009B000		-		C:\Windows\System32\drivers\storport.sys				43		Microsoft Corporation
EhStorClass.sys		0xFFFFF80855D40000		0x0001C000		0xFFFFCD87EC551D70		C:\Windows\System32\drivers\EhStorClass.sys		EhStorClass		44		Microsoft Corporation
fileinfo.sys		0xFFFFF80855D60000		0x0001A000		0xFFFFCD87EC622B90		C:\Windows\System32\drivers\fileinfo.sys		FileInfo		45		Microsoft Corporation
Wof.sys		0xFFFFF80855D80000		0x0003E000		0xFFFFCD87EC6CAD60		C:\Windows\System32\Drivers\Wof.sys				46		Microsoft Corporation
Ntfs.sys		0xFFFFF80854600000		0x0028D000		0xFFFFCD87EC6CCA90		C:\Windows\System32\Drivers\Ntfs.sys				47		Microsoft Corporation
Fs_Rec.sys		0xFFFFF80854890000		0x0000D000		0xFFFFCD87EC6CE750		C:\Windows\System32\Drivers\Fs_Rec.sys				48		Microsoft Corporation
ndis.sys		0xFFFFF808548A0000		0x00153000		0xFFFFCD87EC6CFBA0		C:\Windows\system32\drivers\ndis.sys		NDIS		49		Microsoft Corporation
NETIO.SYS		0xFFFFF80854A00000		0x00095000		-		C:\Windows\system32\drivers\NETIO.SYS				50		Microsoft Corporation
ksecpkg.sys		0xFFFFF80854AA0000		0x00032000		0xFFFFCD87EC6D0C10		C:\Windows\System32\Drivers\ksecpkg.sys		KSecPkg		51		Microsoft Corporation
tcpip.sys		0xFFFFF80854AE0000		0x002DB000		0xFFFFCD87EC6D0E20		C:\Windows\System32\drivers\tcpip.sys		Tcpip		52		Microsoft Corporation
fwpkclnt.sys		0xFFFFF80854DC0000		0x00078000		-		C:\Windows\System32\drivers\fwpkclnt.sys				53		Microsoft Corporation
wfplwfs.sys		0xFFFFF80854E40000		0x00030000		0xFFFFCD87EC8F3D50		C:\Windows\System32\drivers\wfplwfs.sys		WFPLWFS		54		Microsoft Corporation
VmsProxy.sys		0xFFFFF80854E80000		0x0000E000		0xFFFFCD87EC7498F0		C:\Windows\system32\drivers\VmsProxy.sys		VmsProxy		55		Microsoft Corporation
vmbkmclr.sys		0xFFFFF80854E90000		0x0001F000		-		C:\Windows\system32\drivers\vmbkmclr.sys				56		Microsoft Corporation
VmsProxyHNic.sys		0xFFFFF80854EB0000		0x0000E000		0xFFFFCD87EC749D70		C:\Windows\system32\drivers\VmsProxyHNic.sys		VMSNPXY		57		Microsoft Corporation
fvevol.sys		0xFFFFF80854EC0000		0x000C8000		0xFFFFCD87EC74CCB0		C:\Windows\System32\DRIVERS\fvevol.sys		fvevol		58		Microsoft Corporation
volume.sys		0xFFFFF80854F90000		0x0000B000		0xFFFFCD87EC74FD50		C:\Windows\System32\drivers\volume.sys		volume		59		Microsoft Corporation
volsnap.sys		0xFFFFF80854FA0000		0x0006D000		0xFFFFCD87EC7508F0		C:\Windows\System32\drivers\volsnap.sys		volsnap		60		Microsoft Corporation
rdyboost.sys		0xFFFFF80855010000		0x0004F000		0xFFFFCD87EC750B00		C:\Windows\System32\drivers\rdyboost.sys		rdyboost		61		Microsoft Corporation
mup.sys		0xFFFFF80855060000		0x00025000		0xFFFFCD87EC5589F0		C:\Windows\System32\Drivers\mup.sys		Mup		62		Microsoft Corporation
iorate.sys		0xFFFFF80855090000		0x00011000		0xFFFFCD87EC558E30		C:\Windows\system32\drivers\iorate.sys		iorate		63		Microsoft Corporation
disk.sys		0xFFFFF808550C0000		0x0001C000		0xFFFFCD87EC758B00		C:\Windows\System32\drivers\disk.sys		Disk		64		Microsoft Corporation
CLASSPNP.SYS		0xFFFFF808541C0000		0x0006F000		-		C:\Windows\System32\drivers\CLASSPNP.SYS				65		Microsoft Corporation
crashdmp.sys		0xFFFFF80855DC0000		0x0001C000		-		C:\Windows\System32\Drivers\crashdmp.sys				66		Microsoft Corporation
cdrom.sys		0xFFFFF80465950000		0x0002E000		0xFFFFCD87EC847D40		C:\Windows\System32\drivers\cdrom.sys		cdrom		67		Microsoft Corporation
filecrypt.sys		0xFFFFF80465980000		0x00015000		0xFFFFCD87EC7EC8F0		C:\Windows\system32\drivers\filecrypt.sys		FileCrypt		68		Microsoft Corporation
tbs.sys		0xFFFFF804659A0000		0x0000E000		-		C:\Windows\system32\drivers\tbs.sys				69		Microsoft Corporation
Null.SYS		0xFFFFF804659B0000		0x0000A000		0xFFFFCD87EC79E8F0		C:\Windows\System32\Drivers\Null.SYS				70		Microsoft Corporation
Beep.SYS		0xFFFFF804659C0000		0x0000A000		0xFFFFCD87EC79D8F0		C:\Windows\System32\Drivers\Beep.SYS				71		Microsoft Corporation
dxgkrnl.sys		0xFFFFF80463C00000		0x0033E000		0xFFFFCD87EC861C20		C:\Windows\System32\drivers\dxgkrnl.sys		DXGKrnl		72		Microsoft Corporation
watchdog.sys		0xFFFFF804659D0000		0x00016000		-		C:\Windows\System32\drivers\watchdog.sys				73		Microsoft Corporation
BasicDisplay.sys		0xFFFFF80464C00000		0x00016000		0xFFFFCD87EC861E30		C:\Windows\System32\DriverStore\FileRepository\basicdisplay.inf_amd64_5103ac179273be89\BasicDisplay.sys		BasicDisplay		74		Microsoft Corporation
BasicRender.sys		0xFFFFF80464C20000		0x00011000		0xFFFFCD87EC8618F0		C:\Windows\System32\DriverStore\FileRepository\basicrender.inf_amd64_0b8d03c3bc0e7fd9\BasicRender.sys		BasicRender		75		Microsoft Corporation
Npfs.SYS		0xFFFFF80464C40000		0x0001C000		0xFFFFCD87EC83CB00		C:\Windows\System32\Drivers\Npfs.SYS				76		Microsoft Corporation
Msfs.SYS		0xFFFFF80464C60000		0x00011000		0xFFFFCD87EC862E00		C:\Windows\System32\Drivers\Msfs.SYS				77		Microsoft Corporation
tdx.sys		0xFFFFF80464C80000		0x00027000		0xFFFFCD87EC86A8F0		C:\Windows\system32\DRIVERS\tdx.sys		tdx		78		Microsoft Corporation
TDI.SYS		0xFFFFF80464CB0000		0x00010000		-		C:\Windows\system32\DRIVERS\TDI.SYS				79		Microsoft Corporation
ws2ifsl.sys		0xFFFFF80464CD0000		0x0000E000		0xFFFFCD87EC874E00		C:\Windows\system32\drivers\ws2ifsl.sys		ws2ifsl		80		Microsoft Corporation
netbt.sys		0xFFFFF80464CE0000		0x00051000		0xFFFFCD87EC87BC10		C:\Windows\System32\DRIVERS\netbt.sys		NetBT		81		Microsoft Corporation
afunix.sys		0xFFFFF80464D40000		0x00013000		0xFFFFCD87EC87BE20		C:\Windows\system32\drivers\afunix.sys		afunix		82		Microsoft Corporation
afd.sys		0xFFFFF80464B00000		0x000A6000		0xFFFFCD87EC885D40		C:\Windows\system32\drivers\afd.sys		AFD		83		Microsoft Corporation
npcap.sys		0xFFFFF80464D60000		0x00015000		0xFFFFCD87EC88BE20		C:\Windows\system32\DRIVERS\npcap.sys		npcap		84		Insecure.Com LLC.
