[PC Hunter Standard][Kernel Hook]: 3093
挂钩对象		挂钩位置		钩子类型		挂钩处当前值		挂钩处原始值
len(6) [ntoskrnl.exe]		[0xFFFFF8045FEA5908]->[-]		Inline		A0 4F 9F 3E 7D FA		68 DF BE 7D FB F6
len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA5920]->[-]		Inline		00 97		80 FA
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA5934]->[-]		Inline		7F FA		FF F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA5963]->[-]		Inline		00 FA		80 F6
len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA5AC8]->[-]		Inline		00 97		80 FA
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA5B23]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA5B3C]->[-]		Inline		7F FA		FF F6
[*]len(3) [ntoskrnl.exe]		[0xFFFFF8045FEA5B5A]->[-]		Inline		00 7D FA		40 FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA5B71]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA5D67]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA5D92]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA5D9C]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA5DC0]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA5E72]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA5E7C]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA5E89]->[-]		Inline		00 97		80 FA
[*]len(6) [ntoskrnl.exe]		[0xFFFFF8045FEA5E94]->[-]		Inline		A0 4F 9F 3E 7D FA		68 DF BE 7D FB F6
[*]len(3) [ntoskrnl.exe]		[0xFFFFF8045FEA5FD7]->[-]		Inline		00 7D FA		40 FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA601C]->[-]		Inline		00 97		80 FA
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA60E2]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA6193]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA61EC]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA61F9]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA6231]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA62D7]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA65FA]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA6926]->[-]		Inline		00 97		80 FA
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA69D4]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA6AD5]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA6AE2]->[-]		Inline		00 FA		80 F6
len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA6B58]->[-]		Inline		7F FA		FF F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA7214]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA72C2]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA72DB]->[-]		Inline		7F FA		FF F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA7375]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA73E7]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA74C5]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA74DC]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA7642]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA776D]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA77A9]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA786F]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA7879]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA79CC]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA7B5E]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA7DA9]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA7F4F]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(6) [ntoskrnl.exe]		[0xFFFFF8045FEA801C]->[-]		Inline		A0 4F 9F 3E 7D FA		68 DF BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA8096]->[-]		Inline		4F 9F 3E 7D FA		DF BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA80D1]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA82A5]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA82B7]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(6) [ntoskrnl.exe]		[0xFFFFF8045FEA83AB]->[-]		Inline		A0 4F 9F 3E 7D FA		68 DF BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA842A]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA843C]->[-]		Inline		4F 9F 3E 7D FA		DF BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA849B]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA84AD]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA8654]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA8661]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA86BD]->[-]		Inline		00 97		80 FA
len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA86D8]->[-]		Inline		00 97		80 FA
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA8763]->[-]		Inline		00 FA		80 F6
len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA8910]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA8B1B]->[-]		Inline		00 FA		80 F6
len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA8D10]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA8D24]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA8E57]->[-]		Inline		00 FA		80 F6
[*]len(3) [ntoskrnl.exe]		[0xFFFFF8045FEA8EFE]->[-]		Inline		00 7D FA		40 FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA8F16]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA8F26]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEA8F61]->[-]		Inline		00 97		80 FA
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEA8F93]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAA8DB]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAA96A]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAAA11]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAABB7]->[-]		Inline		7F FA		FF F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAABD4]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAACCE]->[-]		Inline		00 FA		80 F6
[*]len(6) [ntoskrnl.exe]		[0xFFFFF8045FEAAD74]->[-]		Inline		A0 4F 9F 3E 7D FA		68 DF BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAAD82]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAADE1]->[-]		Inline		80 FA		00 F7
len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAAF60]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAB0AE]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAB0B8]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
len(6) [ntoskrnl.exe]		[0xFFFFF8045FEAB138]->[-]		Inline		A0 4F 9F 3E 7D FA		68 DF BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAB1A9]->[-]		Inline		7F FA		FF F6
[*]len(6) [ntoskrnl.exe]		[0xFFFFF8045FEAB44D]->[-]		Inline		A0 4F 9F 3E 7D FA		68 DF BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAB46E]->[-]		Inline		00 FA		80 F6
len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAB570]->[-]		Inline		00 FA		80 F6
[*]len(6) [ntoskrnl.exe]		[0xFFFFF8045FEAB5E3]->[-]		Inline		A0 4F 9F 3E 7D FA		68 DF BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAB626]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAB742]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAB7AF]->[-]		Inline		00 FA		80 F6
[*]len(6) [ntoskrnl.exe]		[0xFFFFF8045FEAB7CE]->[-]		Inline		A0 4F 9F 3E 7D FA		68 DF BE 7D FB F6
len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAB7F0]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAB8CD]->[-]		Inline		00 FA		80 F6
[*]len(6) [ntoskrnl.exe]		[0xFFFFF8045FEAB91F]->[-]		Inline		A0 4F 9F 3E 7D FA		68 DF BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAB952]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAB9D0]->[-]		Inline		00 FA		80 F6
[*]len(6) [ntoskrnl.exe]		[0xFFFFF8045FEAB9FC]->[-]		Inline		A0 4F 9F 3E 7D FA		68 DF BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEABA1E]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEABA89]->[-]		Inline		00 FA		80 F6
[*]len(6) [ntoskrnl.exe]		[0xFFFFF8045FEABB29]->[-]		Inline		A0 4F 9F 3E 7D FA		68 DF BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEABB56]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(6) [ntoskrnl.exe]		[0xFFFFF8045FEABBDF]->[-]		Inline		A0 4F 9F 3E 7D FA		68 DF BE 7D FB F6
len(5) [ntoskrnl.exe]		[0xFFFFF8045FEABC10]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEABCA2]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
len(5) [ntoskrnl.exe]		[0xFFFFF8045FEABD28]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEABD8B]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEABDEE]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEABEB5]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEABF2C]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEABFD2]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
len(5) [ntoskrnl.exe]		[0xFFFFF8045FEABFE8]->[-]		Inline		4F 9F 3E 7D FA		DF BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAC022]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAC085]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
len(6) [ntoskrnl.exe]		[0xFFFFF8045FEAC1B8]->[-]		Inline		A0 4F 9F 3E 7D FA		68 DF BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAC2F9]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAC303]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAC41C]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAC432]->[-]		Inline		4F 9F 3E 7D FA		DF BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAC502]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAC518]->[-]		Inline		4F 9F 3E 7D FA		DF BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAC55F]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAC575]->[-]		Inline		4F 9F 3E 7D FA		DF BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAC5FD]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAC613]->[-]		Inline		4F 9F 3E 7D FA		DF BE 7D FB F6
[*]len(6) [ntoskrnl.exe]		[0xFFFFF8045FEAC744]->[-]		Inline		A0 4F 9F 3E 7D FA		68 DF BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAC75C]->[-]		Inline		00 FA		80 F6
len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAC768]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAC77E]->[-]		Inline		4F 9F 3E 7D FA		DF BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAC799]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEACB12]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEACB25]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(6) [ntoskrnl.exe]		[0xFFFFF8045FEACBBD]->[-]		Inline		A0 4F 9F 3E 7D FA		68 DF BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEACBF6]->[-]		Inline		00 97		80 FA
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEACC5C]->[-]		Inline		00 97		80 FA
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEACC9F]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEACDE6]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(6) [ntoskrnl.exe]		[0xFFFFF8045FEACE3D]->[-]		Inline		A0 4F 9F 3E 7D FA		68 DF BE 7D FB F6
len(2) [ntoskrnl.exe]		[0xFFFFF8045FEACE98]->[-]		Inline		00 FA		80 F6
len(5) [ntoskrnl.exe]		[0xFFFFF8045FEACF08]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEACFD6]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAD067]->[-]		Inline		00 FA		80 F6
[*]len(3) [ntoskrnl.exe]		[0xFFFFF8045FEAE936]->[-]		Inline		00 7D FA		40 FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAE945]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAE94C]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAE956]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAEA40]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAEA83]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAEA8D]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAEA9C]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAEACA]->[-]		Inline		00 FA		80 F6
[*]len(3) [ntoskrnl.exe]		[0xFFFFF8045FEAEAD3]->[-]		Inline		00 7D FA		40 FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAFE9B]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAFEDA]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAFF2D]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEAFF41]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEAFFCB]->[-]		Inline		7F FA		FF F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB007A]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB008D]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB012E]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB030C]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB040F]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB0419]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB04EF]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB05D7]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB0601]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB0628]->[-]		Inline		00 97		80 FA
[*]len(3) [ntoskrnl.exe]		[0xFFFFF8045FEB070F]->[-]		Inline		00 7D FA		40 FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB0727]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB0768]->[-]		Inline		00 97		80 FA
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB0877]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB09BB]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB0A4A]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB0AAD]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB0ABA]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB0AD1]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB0FFA]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB105F]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB106C]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB109A]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB10F7]->[-]		Inline		00 97		80 FA
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB117A]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB1193]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB11C1]->[-]		Inline		00 97		80 FA
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB122E]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB123B]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB124B]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB1272]->[-]		Inline		00 97		80 FA
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB12F1]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(3) [ntoskrnl.exe]		[0xFFFFF8045FEB136F]->[-]		Inline		00 7D FA		40 FB F6
len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB1388]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB1398]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB13DF]->[-]		Inline		00 97		80 FA
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB14D2]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB1586]->[-]		Inline		00 FA		80 F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB15A9]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB16A0]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB16C6]->[-]		Inline		00 97		80 FA
[*]len(3) [ntoskrnl.exe]		[0xFFFFF8045FEB16D9]->[-]		Inline		00 7D FA		40 FB F6
len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB1710]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB18F3]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB1905]->[-]		Inline		00 FA		80 F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB190F]->[-]		Inline		7F FA		FF F6
[*]len(3) [ntoskrnl.exe]		[0xFFFFF8045FEB1951]->[-]		Inline		00 7D FA		40 FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB197B]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB198B]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB19C9]->[-]		Inline		00 97		80 FA
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB1A83]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB1AD7]->[-]		Inline		40 9F 3E 7D FA		D0 BE 7D FB F6
[*]len(2) [ntoskrnl.exe]		[0xFFFFF8045FEB1B3C]->[-]		Inline		7F FA		FF F6
[*]len(5) [ntoskrnl.exe]		[0xFFFFF8045FEB1C03]->[-]		Inline		47 9F 3E 7D FA		D7 BE 7D FB F6
