[PC Hunter Standard][ObjectType Hook]: 384
函数名		当前函数地址		Hook		原始函数地址		Object类型		Object地址		当前函数地址所在模块
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		0xFFFFF8046049EE60		ExSemaphoreObjectType		0xFFFFF80460345238		C:\Windows\system32\ntoskrnl.exe
SepTokenDeleteMethod		0xFFFFF804604058E0		-		-		SeTokenObjectType		0xFFFFF8046076F030		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		0xFFFFF8046049EE60		SeTokenObjectType		0xFFFFF8046076F030		C:\Windows\system32\ntoskrnl.exe
AlpcpOpenPort		0xFFFFF804603B2250		-		-		AlpcPortObjectType		0xFFFFF804603463D0		C:\Windows\system32\ntoskrnl.exe
AlpcpClosePort		0xFFFFF804604475B0		-		-		AlpcPortObjectType		0xFFFFF804603463D0		C:\Windows\system32\ntoskrnl.exe
AlpcpDeletePort		0xFFFFF80460447630		-		-		AlpcPortObjectType		0xFFFFF804603463D0		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		0xFFFFF8046049EE60		AlpcPortObjectType		0xFFFFF804603463D0		C:\Windows\system32\ntoskrnl.exe
OpenProcedure		0xFFFFF8085360B0B0		-		-		TmTm		0xFFFFCD87EAAF5AE0		C:\Windows\System32\drivers\tm.sys
CloseProcedure		0xFFFFF808536195E0		-		-		TmTm		0xFFFFCD87EAAF5AE0		C:\Windows\System32\drivers\tm.sys
DeleteProcedure		0xFFFFF80853619CC0		-		-		TmTm		0xFFFFCD87EAAF5AE0		C:\Windows\System32\drivers\tm.sys
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		TmTm		0xFFFFCD87EAAF5AE0		C:\Windows\system32\ntoskrnl.exe
OpenProcedure		0xFFFFF804603B4B80		-		-		Desktop		0xFFFFCD87EAA87220		C:\Windows\system32\ntoskrnl.exe
CloseProcedure		0xFFFFF804603B6680		-		-		Desktop		0xFFFFCD87EAA87220		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF804603C4480		-		-		Desktop		0xFFFFCD87EAA87220		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		Desktop		0xFFFFCD87EAA87220		C:\Windows\system32\ntoskrnl.exe
OkayToCloseProcedure		0xFFFFF804603B5530		-		-		Desktop		0xFFFFCD87EAA87220		C:\Windows\system32\ntoskrnl.exe
CloseProcedure		0xFFFFF8046067AE00		-		-		EnergyTracker		0xFFFFCD87EAAF40C0		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF8046067AE40		-		-		EnergyTracker		0xFFFFCD87EAAF40C0		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		EnergyTracker		0xFFFFCD87EAAF40C0		C:\Windows\system32\ntoskrnl.exe
CloseProcedure		0xFFFFF8046039E6C0		-		-		RegistryTransaction		0xFFFFCD87EAAF52A0		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF804603D3F20		-		-		RegistryTransaction		0xFFFFCD87EAAF52A0		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		RegistryTransaction		0xFFFFCD87EAAF52A0		C:\Windows\system32\ntoskrnl.exe
CloseProcedure		0xFFFFF80460611E30		-		-		DebugObject		0xFFFFCD87EAA88980		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF804604BEEA0		-		-		DebugObject		0xFFFFCD87EAA88980		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		DebugObject		0xFFFFCD87EAA88980		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF8046060B770		-		-		VRegConfigurationContext		0xFFFFCD87EC9A6220		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		VRegConfigurationContext		0xFFFFCD87EC9A6220		C:\Windows\system32\ntoskrnl.exe
CloseProcedure		0xFFFFF8046047A8D0		-		-		TpWorkerFactory		0xFFFFCD87EAAF56C0		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF8045FF2D910		-		-		TpWorkerFactory		0xFFFFCD87EAAF56C0		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		TpWorkerFactory		0xFFFFCD87EAAF56C0		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		Adapter		0xFFFFCD87EAAF4D20		C:\Windows\system32\ntoskrnl.exe
OpenProcedure		0xFFFFF80463D24270		-		-		DxgkSharedResource		0xFFFFCD87EC9A7AE0		C:\Windows\System32\drivers\dxgkrnl.sys
DeleteProcedure		0xFFFFF80463D1A790		-		-		DxgkSharedResource		0xFFFFCD87EC9A7AE0		C:\Windows\System32\drivers\dxgkrnl.sys
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		DxgkSharedResource		0xFFFFCD87EC9A7AE0		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF8046068A9C0		-		-		PsSiloContextPaged		0xFFFFCD87EAA87900		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		PsSiloContextPaged		0xFFFFCD87EAA87900		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF808548A9200		-		-		NdisCmState		0xFFFFCD87EABFBBC0		C:\Windows\system32\drivers\ndis.sys
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		NdisCmState		0xFFFFCD87EABFBBC0		C:\Windows\system32\ntoskrnl.exe
CloseProcedure		0xFFFFF804604C2040		-		-		ActivityReference		0xFFFFCD87EAA88140		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		ActivityReference		0xFFFFCD87EAA88140		C:\Windows\system32\ntoskrnl.exe
OpenProcedure		0xFFFFF80853EEA740		-		-		PcwObject		0xFFFFCD87EABFCC40		C:\Windows\System32\drivers\pcw.sys
CloseProcedure		0xFFFFF80853EEA750		-		-		PcwObject		0xFFFFCD87EABFCC40		C:\Windows\System32\drivers\pcw.sys
DeleteProcedure		0xFFFFF80853EEA780		-		-		PcwObject		0xFFFFCD87EABFCC40		C:\Windows\System32\drivers\pcw.sys
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		PcwObject		0xFFFFCD87EABFCC40		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF804604A50A0		-		-		WmiGuid		0xFFFFCD87EABFB0C0		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF804603B1990		-		-		WmiGuid		0xFFFFCD87EABFB0C0		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF8046089A270		-		-		DmaAdapter		0xFFFFCD87EABFCAE0		C:\Windows\system32\hal.dll
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		DmaAdapter		0xFFFFCD87EABFCAE0		C:\Windows\system32\ntoskrnl.exe
OpenProcedure		0xFFFFF804603B63B0		-		-		EtwRegistration		0xFFFFCD87EABFBA60		C:\Windows\system32\ntoskrnl.exe
CloseProcedure		0xFFFFF80460434090		-		-		EtwRegistration		0xFFFFCD87EABFBA60		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF8046042BAE0		-		-		EtwRegistration		0xFFFFCD87EABFBA60		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		EtwRegistration		0xFFFFCD87EABFBA60		C:\Windows\system32\ntoskrnl.exe
OpenProcedure		0xFFFFF80463D24270		-		-		DxgkSharedBundleObject		0xFFFFCD87EC9A6BC0		C:\Windows\System32\drivers\dxgkrnl.sys
DeleteProcedure		0xFFFFF80463E20F60		-		-		DxgkSharedBundleObject		0xFFFFCD87EC9A6BC0		C:\Windows\System32\drivers\dxgkrnl.sys
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		DxgkSharedBundleObject		0xFFFFCD87EC9A6BC0		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF804606551A0		-		-		Session		0xFFFFCD87EAAF5DA0		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		Session		0xFFFFCD87EAAF5DA0		C:\Windows\system32\ntoskrnl.exe
OpenProcedure		0xFFFFF804603B4B80		-		-		RawInputManager		0xFFFFCD87EAAF4900		C:\Windows\system32\ntoskrnl.exe
CloseProcedure		0xFFFFF804603B6680		-		-		RawInputManager		0xFFFFCD87EAAF4900		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF804603C4480		-		-		RawInputManager		0xFFFFCD87EAAF4900		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		RawInputManager		0xFFFFCD87EAAF4900		C:\Windows\system32\ntoskrnl.exe
OkayToCloseProcedure		0xFFFFF804603B5530		-		-		RawInputManager		0xFFFFCD87EAAF4900		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF8045FE37900		-		-		Timer		0xFFFFCD87EAA87E80		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		Timer		0xFFFFCD87EAA87E80		C:\Windows\system32\ntoskrnl.exe
DeleteProcedure		0xFFFFF8046047A8F0		-		-		IRTimer		0xFFFFCD87EAA88400		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		IRTimer		0xFFFFCD87EAA88400		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		DxgkCurrentDxgProcessObject		0xFFFFCD87EC9A7F00		C:\Windows\system32\ntoskrnl.exe
OpenProcedure		0xFFFFF80463D24270		-		-		DxgkSharedProtectedSessionObject		0xFFFFCD87EC9A6A60		C:\Windows\System32\drivers\dxgkrnl.sys
DeleteProcedure		0xFFFFF80463E210D0		-		-		DxgkSharedProtectedSessionObject		0xFFFFCD87EC9A6A60		C:\Windows\System32\drivers\dxgkrnl.sys
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		DxgkSharedProtectedSessionObject		0xFFFFCD87EC9A6A60		C:\Windows\system32\ntoskrnl.exe
OpenProcedure		0xFFFFF80463D24270		-		-		DxgkSharedSyncObject		0xFFFFCD87EC9A7400		C:\Windows\System32\drivers\dxgkrnl.sys
DeleteProcedure		0xFFFFF80463D25C20		-		-		DxgkSharedSyncObject		0xFFFFCD87EC9A7400		C:\Windows\System32\drivers\dxgkrnl.sys
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		DxgkSharedSyncObject		0xFFFFCD87EC9A7400		C:\Windows\system32\ntoskrnl.exe
